S.No,Latitude,Longitude,Elevation (m),Slope (°),Annual Rainfall (mm),Clay content (%),Sand content (%),Silt content (%),Vol. water content at -10 kPa (%),Vol. water content at -33 kPa (%),Vol. water content at -1500 kPa (%),Soil moisture (m³/m³),Land cover,Distance to road (m),State,District,Subdivision / Taluk,Material Involved,Initiation Year,Elevation Band,Slope Band,Rainfall Band,Road Distance Band,Decade,Elevation Band Sort,Slope Band Sort,Rainfall Band Sort,Road Distance Band Sort
248,9.74092,76.87242,650.0,38.92,3016.0,31.9,37.0,31.1,41.6,32.2,21.0,0.21,Tree cover,34.4,Kerala,Idukki,Thodupuzha,Rock,2007,500–1000 m,30–40°,3000–4000 mm,10–50 m,2000s,2,4,5,2
282,9.7726,76.8275,827.0,42.58,3149.0,30.9,38.1,31.0,41.4,31.6,18.4,0.184,Tree cover,277.8,Kerala,Idukki,Thodupuzha,Debris,2010,500–1000 m,40–50°,3000–4000 mm,100–500 m,2010s,2,5,5,4
287,9.7796,76.8499,150.0,29.9,2884.0,29.0,38.6,32.4,41.2,34.0,18.4,0.184,Tree cover,27.1,Kerala,Idukki,Thodupuzha,Debris,2010,0–500 m,20–30°,2500–3000 mm,10–50 m,2010s,1,3,4,2
310,9.8027,76.8477,125.0,16.18,2839.0,31.5,39.4,29.1,40.9,32.1,18.4,0.184,Tree cover,174.6,Kerala,Idukki,Thodupuzha,Debris,2010,0–500 m,10–20°,2500–3000 mm,100–500 m,2010s,1,2,4,4
321,9.81,76.88,626.0,30.67,2779.0,33.6,36.8,29.6,40.2,33.5,17.9,0.179,Tree cover,70.8,Kerala,Idukki,Thodupuzha,Debris,2019,500–1000 m,30–40°,2500–3000 mm,50–100 m,2010s,2,4,4,3
356,9.8222,76.8433,457.0,22.84,2894.0,31.0,40.1,28.9,39.7,31.6,18.0,0.18,Tree cover,18.8,Kerala,Idukki,Thodupuzha,Rock,2007,0–500 m,20–30°,2500–3000 mm,10–50 m,2000s,1,3,4,2
358,9.823,76.8397,437.0,20.82,2914.0,30.2,40.4,29.4,39.7,31.6,18.0,0.18,Tree cover,29.8,Kerala,Idukki,Thodupuzha,Debris,2010,0–500 m,20–30°,2500–3000 mm,10–50 m,2010s,1,3,4,2
982,9.9208,76.9813,442.0,13.74,2208.0,31.2,40.5,28.2,39.6,32.3,18.2,0.182,Tree cover,157.2,Kerala,Idukki,Idukki,Debris,2007,0–500 m,10–20°,2000–2500 mm,100–500 m,2000s,1,2,3,4
1217,10.0,77.22,1308.0,27.55,1833.0,32.8,34.0,33.1,40.9,32.4,20.5,0.205,Tree cover,86.9,Kerala,Idukki,Udumbanchola,Debris,2018,1000–1500 m,20–30°,1500–2000 mm,50–100 m,2010s,3,3,2,3
1209,10.0,76.99,672.0,16.71,2146.0,34.1,40.1,25.7,40.6,33.0,19.6,0.196,Tree cover,241.8,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1274,10.01,77.16,968.0,7.99,1814.0,36.9,31.3,31.8,40.5,32.7,19.1,0.191,Tree cover,100.8,Kerala,Idukki,Udumbanchola,Debris,2018,500–1000 m,0–10°,1500–2000 mm,100–500 m,2010s,2,1,2,4
1262,10.01,76.98,685.0,23.39,2284.0,31.3,39.4,29.4,42.0,31.9,19.5,0.195,Tree cover,32.6,Kerala,Idukki,Devikulam,Debris,2008,500–1000 m,20–30°,2000–2500 mm,10–50 m,2000s,2,3,3,2
1266,10.01,76.95,552.0,0.96,2295.0,32.2,41.2,26.6,39.8,31.3,18.0,0.18,Built-up,3.4,Kerala,Idukki,Devikulam,Debris,2016,500–1000 m,0–10°,2000–2500 mm,0–10 m,2010s,2,1,3,1
1276,10.01,77.01,625.0,25.54,2139.0,34.5,38.7,26.8,39.5,33.7,19.0,0.19,Tree cover,138.7,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
1272,10.01,77.09,929.0,14.3,2037.0,32.3,33.9,33.7,41.7,32.9,19.1,0.191,Tree cover,266.3,Kerala,Idukki,Udumbanchola,Debris,2018,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1267,10.01,76.96,560.0,2.02,2280.0,30.6,40.7,28.7,39.7,32.2,19.1,0.191,Tree cover,15.1,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,0–10°,2000–2500 mm,10–50 m,2010s,2,1,3,2
1278,10.01,77.03,870.0,14.49,2154.0,33.5,36.4,30.1,40.4,34.0,19.6,0.196,Tree cover,5.8,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2000–2500 mm,0–10 m,2010s,2,2,3,1
1346,10.02,77.18,1237.0,15.7,1893.0,30.0,35.4,34.7,39.9,32.0,20.2,0.202,Tree cover,70.6,Kerala,Idukki,Udumbanchola,Debris,2019,1000–1500 m,10–20°,1500–2000 mm,50–100 m,2010s,3,2,2,3
1343,10.02,77.25,1419.0,40.36,1768.0,32.6,34.5,32.9,41.1,31.9,19.5,0.195,Tree cover,171.8,Kerala,Idukki,Udumbanchola,Debris,2019,1000–1500 m,40–50°,1500–2000 mm,100–500 m,2010s,3,5,2,4
1330,10.02,76.89,631.0,29.77,2622.0,33.8,37.1,29.1,40.1,32.8,17.8,0.178,Tree cover,368.8,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,20–30°,2500–3000 mm,100–500 m,2010s,2,3,4,4
1325,10.02,77.01,766.0,26.98,2136.0,31.4,38.9,29.7,39.2,32.5,19.0,0.19,Tree cover,151.4,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
1322,10.02,76.97,895.0,21.56,2411.0,30.5,35.5,34.0,39.5,32.2,18.5,0.185,Tree cover,103.7,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
1320,10.02,76.96,851.0,35.61,2407.0,30.7,38.9,30.5,39.4,32.0,19.1,0.191,Grassland,152.2,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,30–40°,2000–2500 mm,100–500 m,2010s,2,4,3,4
1331,10.02,76.92,549.0,6.45,2455.0,30.7,37.9,31.4,42.4,33.2,19.3,0.193,Tree cover,35.3,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,0–10°,2000–2500 mm,10–50 m,2010s,2,1,3,2
1328,10.02,76.93,590.0,8.14,2426.0,30.4,38.0,31.6,41.9,32.7,20.2,0.202,Tree cover,96.5,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,0–10°,2000–2500 mm,50–100 m,2010s,2,1,3,3
1323,10.02,76.98,952.0,26.08,2392.0,31.1,34.9,34.0,39.7,32.1,18.7,0.187,Tree cover,164.9,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
1329,10.02,76.91,560.0,8.68,2480.0,32.3,37.5,30.2,40.6,33.5,18.5,0.185,Tree cover,58.5,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,0–10°,2000–2500 mm,50–100 m,2010s,2,1,3,3
1374,10.02625,77.06356,898.0,19.72,2105.0,32.3,33.5,34.2,40.0,33.1,18.6,0.186,Tree cover,3.2,Kerala,Idukki,Devikulam,Debris,2007,500–1000 m,10–20°,2000–2500 mm,0–10 m,2000s,2,2,3,1
1407,10.03,76.86,557.0,7.87,2701.0,33.1,37.8,29.1,40.5,33.7,17.9,0.179,Grassland,159.9,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,0–10°,2500–3000 mm,100–500 m,2010s,2,1,4,4
1393,10.03,77.0,817.0,10.04,2242.0,34.3,38.1,27.5,40.0,34.0,18.7,0.187,Tree cover,275.8,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1397,10.03,76.94,913.0,26.66,2508.0,32.5,34.6,32.9,40.3,33.0,18.9,0.189,Tree cover,91.0,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,20–30°,2500–3000 mm,50–100 m,2010s,2,3,4,3
1392,10.03,76.98,1118.0,20.27,2457.0,30.4,35.0,34.6,40.3,32.1,18.6,0.186,Tree cover,531.2,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,20–30°,2000–2500 mm,500–1000 m,2010s,3,3,3,5
1406,10.03,76.88,589.0,11.95,2623.0,34.0,36.7,29.3,40.4,33.7,17.8,0.178,Tree cover,71.6,Kerala,Idukki,Devikulam,Rock,2019,500–1000 m,10–20°,2500–3000 mm,50–100 m,2010s,2,2,4,3
1401,10.03,76.93,795.0,14.88,2525.0,34.0,34.5,31.6,41.1,32.5,19.2,0.192,Tree cover,174.7,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2500–3000 mm,100–500 m,2010s,2,2,4,4
1405,10.03,76.9,592.0,25.92,2558.0,32.5,37.6,30.0,40.4,33.9,18.8,0.188,Tree cover,21.0,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,20–30°,2500–3000 mm,10–50 m,2010s,2,3,4,2
1438,10.03499,76.99247,869.0,37.44,2323.0,33.3,36.3,30.5,41.5,33.5,19.5,0.195,Tree cover,11.2,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,30–40°,2000–2500 mm,10–50 m,2010s,2,4,3,2
1452,10.04,77.04,1116.0,12.19,2240.0,35.2,33.4,31.4,41.6,33.1,19.6,0.196,Tree cover,63.7,Kerala,Idukki,Devikulam,Debris,2019,1000–1500 m,10–20°,2000–2500 mm,50–100 m,2010s,3,2,3,3
1457,10.04,77.02,1148.0,32.27,2357.0,34.6,32.2,33.2,42.0,33.9,20.3,0.203,Tree cover,63.2,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,30–40°,2000–2500 mm,50–100 m,2010s,3,4,3,3
1468,10.04,77.11,1773.0,29.07,2310.0,35.0,29.8,35.2,41.1,34.9,20.2,0.202,Tree cover,232.4,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,100–500 m,2010s,4,3,3,4
1455,10.04,77.03,1177.0,17.56,2259.0,35.7,32.6,31.7,41.2,32.1,20.0,0.2,Tree cover,123.8,Kerala,Idukki,Devikulam,Debris,2019,1000–1500 m,10–20°,2000–2500 mm,100–500 m,2010s,3,2,3,4
1464,10.04,76.99,1047.0,29.75,2365.0,34.2,33.8,32.0,41.5,33.5,19.5,0.195,Tree cover,220.0,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,20–30°,2000–2500 mm,100–500 m,2010s,3,3,3,4
1496,10.044731,76.839075,498.0,15.88,2775.0,33.0,38.2,28.9,39.5,33.6,17.6,0.176,Tree cover,6.5,Kerala,Idukki,Devikulam,Debris,2018,0–500 m,10–20°,2500–3000 mm,0–10 m,2010s,1,2,4,1
1518,10.05,76.87,651.0,19.77,2687.0,33.9,36.2,29.9,40.8,32.9,19.1,0.191,Tree cover,95.1,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2500–3000 mm,50–100 m,2010s,2,2,4,3
1515,10.05,76.96,1068.0,21.84,2484.0,32.0,34.4,33.5,40.8,32.8,19.2,0.192,Tree cover,430.5,Kerala,Idukki,Devikulam,Debris,2019,1000–1500 m,20–30°,2000–2500 mm,100–500 m,2010s,3,3,3,4
1516,10.05,76.95,1025.0,16.65,2506.0,33.1,36.3,30.6,40.6,33.7,18.8,0.188,Tree cover,151.3,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,10–20°,2500–3000 mm,100–500 m,2010s,3,2,4,4
1557,10.06,77.04,1527.0,20.07,2429.0,32.2,32.9,34.9,40.3,33.3,20.1,0.201,Grassland,4.1,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,0–10 m,2010s,4,3,3,1
1550,10.06,77.01,1604.0,32.2,2534.0,35.7,33.3,31.1,40.6,32.6,20.9,0.209,Tree cover,20.5,Kerala,Idukki,Devikulam,Debris,2018,1500–2000 m,30–40°,2500–3000 mm,10–50 m,2010s,4,4,4,2
1555,10.06,77.03,1549.0,29.64,2478.0,31.6,33.8,34.6,40.4,32.9,20.4,0.204,Tree cover,33.0,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,10–50 m,2010s,4,3,3,2
1549,10.06,77.0,1527.0,16.03,2576.0,33.8,34.8,31.4,41.2,32.7,20.0,0.2,Tree cover,18.8,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2500–3000 mm,10–50 m,2010s,4,2,4,2
1563,10.06,77.13,1858.0,25.06,2226.0,33.5,32.4,34.1,41.0,35.4,20.9,0.209,Grassland,118.7,Kerala,Idukki,Devikulam,Debris,2018,1500–2000 m,20–30°,2000–2500 mm,100–500 m,2010s,4,3,3,4
1548,10.06,76.82,552.0,6.01,2835.0,33.9,37.8,28.4,39.2,33.5,17.8,0.178,Tree cover,65.2,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,0–10°,2500–3000 mm,50–100 m,2010s,2,1,4,3
1619,10.07,76.99,1646.0,19.59,2641.0,31.3,34.6,34.0,41.2,32.9,19.2,0.192,Tree cover,106.9,Kerala,Idukki,Devikulam,Debris,2018,1500–2000 m,10–20°,2500–3000 mm,100–500 m,2010s,4,2,4,4
1604,10.07,77.04,1505.0,6.18,2432.0,34.0,35.2,30.8,40.5,32.7,19.6,0.196,Tree cover,61.9,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,0–10°,2000–2500 mm,50–100 m,2010s,4,1,3,3
1625,10.07,77.05,1521.0,25.99,2354.0,33.4,33.9,32.7,40.4,32.7,19.5,0.195,Tree cover,30.2,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,10–50 m,2010s,4,3,3,2
1644,10.07,77.07,1444.0,5.54,2291.0,34.0,33.9,32.1,40.6,33.2,20.4,0.204,Grassland,17.1,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,0–10°,2000–2500 mm,10–50 m,2010s,3,1,3,2
1622,10.07,77.01,1550.0,20.47,2532.0,32.3,33.1,34.6,41.3,33.7,20.1,0.201,Tree cover,122.9,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2500–3000 mm,100–500 m,2010s,4,3,4,4
1676,10.08,77.18,1898.0,26.93,2113.0,32.6,33.4,34.1,44.5,33.1,19.5,0.195,Tree cover,2.2,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,0–10 m,2010s,4,3,3,1
1658,10.08,76.96,1151.0,0.94,2541.0,33.0,34.6,32.4,41.9,32.3,20.7,0.207,Tree cover,89.3,Kerala,Idukki,Devikulam,Debris,2019,1000–1500 m,0–10°,2500–3000 mm,50–100 m,2010s,3,1,4,3
1690,10.084472,77.063361,1458.0,16.52,2304.0,31.5,34.4,34.0,42.0,33.9,19.8,0.198,Built-up,0.1,Kerala,Idukki,Devikulam,Debris,2018,1000–1500 m,10–20°,2000–2500 mm,0–10 m,2010s,3,2,3,1
1709,10.09,76.93,734.0,27.75,2499.0,34.0,37.3,28.7,39.5,32.6,18.3,0.183,Tree cover,128.6,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,20–30°,2000–2500 mm,100–500 m,2010s,2,3,3,4
1739,10.09,77.05,1530.0,13.38,2343.0,31.1,33.9,35.0,42.0,33.5,20.1,0.201,Grassland,28.1,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,10–50 m,2010s,4,2,3,2
1713,10.09,77.09,1622.0,14.19,2248.0,32.5,32.0,35.5,42.7,34.9,19.6,0.196,Tree cover,180.2,Kerala,Idukki,Devikulam,Debris,2018,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1760,10.1,77.07,1699.0,17.09,2327.0,32.9,32.2,34.9,41.0,33.9,19.6,0.196,Grassland,131.0,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1752,10.1,76.93,698.0,15.66,2401.0,32.7,38.8,28.4,39.3,32.8,18.1,0.181,Tree cover,193.4,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1750,10.1,76.8,436.0,5.81,2849.0,33.3,38.8,27.9,41.0,34.0,18.0,0.18,Tree cover,68.5,Kerala,Ernakulam,Kothamangalam,Debris,2019,0–500 m,0–10°,2500–3000 mm,50–100 m,2010s,1,1,4,3
1757,10.1,77.16,1715.0,11.16,2124.0,31.4,33.0,35.6,42.1,33.8,20.7,0.207,Tree cover,180.8,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1770,10.11,76.8,443.0,13.78,2790.0,32.7,39.2,28.1,39.0,33.1,18.8,0.188,Tree cover,291.0,Kerala,Ernakulam,Kothamangalam,Debris,2018,0–500 m,10–20°,2500–3000 mm,100–500 m,2010s,1,2,4,4
1771,10.11,76.7,54.0,3.43,3035.0,30.3,41.4,28.3,40.4,32.9,17.1,0.171,Tree cover,337.0,Kerala,Ernakulam,Kothamangalam,Debris,2019,0–500 m,0–10°,3000–4000 mm,100–500 m,2010s,1,1,5,4
1782,10.11,77.14,1642.0,15.5,2101.0,35.3,32.6,32.1,41.9,35.0,20.0,0.2,Built-up,105.3,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1768,10.11,76.93,704.0,14.91,2370.0,33.8,38.6,27.6,39.3,32.5,18.6,0.186,Tree cover,138.1,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1805,10.12,76.93,750.0,18.6,2376.0,35.1,38.2,26.7,39.2,32.9,18.7,0.187,Tree cover,165.9,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,10–20°,2000–2500 mm,100–500 m,2010s,2,2,3,4
1818,10.12,77.13,1607.0,11.57,2121.0,34.7,32.5,32.8,41.7,35.3,19.9,0.199,Tree cover,143.4,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1841,10.13,76.95,452.0,18.3,2135.0,32.7,40.0,27.3,38.9,31.7,18.7,0.187,Tree cover,54.6,Kerala,Idukki,Devikulam,Debris,2019,0–500 m,10–20°,2000–2500 mm,50–100 m,2010s,1,2,3,3
1845,10.13,77.05,1658.0,23.1,2326.0,33.5,32.7,33.8,41.3,33.2,20.3,0.203,Tree cover,12.3,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,20–30°,2000–2500 mm,10–50 m,2010s,4,3,3,2
1858,10.13,77.15,1648.0,19.29,2065.0,35.6,31.9,32.5,41.4,34.4,20.4,0.204,Tree cover,889.1,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,500–1000 m,2010s,4,2,3,5
1860,10.13,77.24,1960.0,23.18,1912.0,34.0,32.6,33.4,41.9,34.3,20.9,0.209,Tree cover,6.7,Kerala,Idukki,Bodinayakanur,Debris,2019,1500–2000 m,20–30°,1500–2000 mm,0–10 m,2010s,4,3,2,1
1844,10.13,76.92,669.0,48.93,2313.0,31.8,39.6,28.5,40.2,32.0,18.6,0.186,Grassland,348.1,Kerala,Idukki,Devikulam,Debris,2018,500–1000 m,40–50°,2000–2500 mm,100–500 m,2010s,2,5,3,4
1847,10.13,77.04,1616.0,7.8,2368.0,33.3,31.3,35.4,41.4,33.1,20.3,0.203,Tree cover,41.4,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,0–10°,2000–2500 mm,10–50 m,2010s,4,1,3,2
1864,10.13,77.1,1954.0,15.99,2269.0,35.6,31.5,32.9,43.1,36.5,20.7,0.207,Tree cover,261.3,Kerala,Idukki,Devikulam,Debris,2018,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1857,10.13,77.17,1679.0,30.08,2037.0,34.0,34.1,32.0,40.2,33.0,19.4,0.194,Tree cover,77.4,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,30–40°,2000–2500 mm,50–100 m,2010s,4,4,3,3
1840,10.13,76.94,491.0,30.53,2236.0,33.6,40.6,25.9,40.1,31.9,19.5,0.195,Tree cover,159.8,Kerala,Idukki,Devikulam,Debris,2019,0–500 m,30–40°,2000–2500 mm,100–500 m,2010s,1,4,3,4
1895,10.14,77.07,1745.0,18.06,2337.0,36.6,31.3,32.1,41.7,34.3,20.4,0.204,Tree cover,293.2,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,100–500 m,2010s,4,2,3,4
1881,10.14,76.91,419.0,22.95,2266.0,32.6,39.2,28.2,39.8,32.5,18.3,0.183,Tree cover,30.3,Kerala,Idukki,Devikulam,Debris,2019,0–500 m,20–30°,2000–2500 mm,10–50 m,2010s,1,3,3,2
1889,10.14,77.19,1678.0,16.11,1975.0,31.2,33.8,35.0,41.0,34.0,20.6,0.206,Tree cover,208.0,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,1500–2000 mm,100–500 m,2010s,4,2,2,4
1878,10.14,76.94,521.0,15.25,2146.0,33.5,37.9,28.6,40.6,31.4,19.7,0.197,Tree cover,687.0,Kerala,Idukki,Devikulam,Debris,2019,500–1000 m,10–20°,2000–2500 mm,500–1000 m,2010s,2,2,3,5
1887,10.14,77.18,1628.0,8.18,1966.0,36.5,32.8,30.7,40.5,32.7,20.0,0.2,Tree cover,236.3,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,0–10°,1500–2000 mm,100–500 m,2010s,4,1,2,4
1897,10.14,77.09,2145.0,39.0,2388.0,34.3,32.8,32.9,41.0,35.3,20.4,0.204,Tree cover,411.4,Kerala,Idukki,Devikulam,Debris,2018,2000–3000 m,30–40°,2000–2500 mm,100–500 m,2010s,5,4,3,4
1877,10.14,76.92,352.0,12.99,2209.0,31.1,41.0,27.9,40.0,33.4,18.7,0.187,Tree cover,101.7,Kerala,Idukki,Devikulam,Debris,2019,0–500 m,10–20°,2000–2500 mm,100–500 m,2010s,1,2,3,4
1931,10.15,77.11,1606.0,35.79,2158.0,33.9,32.3,33.9,41.1,32.0,19.6,0.196,Tree cover,5.3,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,30–40°,2000–2500 mm,0–10 m,2010s,4,4,3,1
1913,10.15,77.08,1822.0,13.74,2305.0,32.3,31.7,36.0,43.6,35.7,20.3,0.203,Tree cover,21.3,Kerala,Idukki,Devikulam,Debris,2019,1500–2000 m,10–20°,2000–2500 mm,10–50 m,2010s,4,2,3,2
1946,10.16,77.1,1491.0,12.99,2076.0,31.7,34.8,33.6,41.9,33.3,19.1,0.191,Grassland,8.3,Kerala,Idukki,Devikulam,Debris,2019,1000–1500 m,10–20°,2000–2500 mm,0–10 m,2010s,3,2,3,1
